Features,TBM_Importance
bla,16.34151840209961
bla_2,9.66677951812744
group_7193,6.067384243011475
group_4636,5.6928558349609375
group_6933,4.0
group_373,3.290845394134521
group_16872,3.2560677528381348
group_1022,3.110215187072754
group_7215,3.013511657714844
group_9424,2.9549331665039062
ecpA,2.836250305175781
rusA_2,2.7604188919067383
Cutoff_56,2.7345871925354004
group_6779,2.672013282775879
group_2878,2.6650447845458984
hbp,2.5852696895599365
psuT_2,2.412616729736328
group_2677,2.241319417953491
group_7283,1.9901599884033203
tnpR,1.9807466268539429
group_9199,1.895779728889465
group_22064,1.8750877380371092
group_14551,1.7729700803756714
group_6205,1.5898535251617432
fyuA,1.535941243171692
group_15037,1.5136933326721191
group_7298,1.4756301641464231
group_3878,1.4567712545394895
group_4802,1.4498307704925537
group_10636,1.4485567808151243
group_2177,1.434706449508667
group_5441,1.3739004135131836
group_3947,1.2941852807998655
group_11514,1.2470567226409912
Cutoff_506,1.2272059917449951
group_14857,1.1628148555755615
group_4209,1.157576084136963
ompD,1.1158857345581057
group_1592,1.1010019779205322
group_5204,1.0689531564712524
Year_2001.0,1.058218240737915
group_15009,1.0370080471038818
group_6168,0.9572387337684632
group_2520,0.948862075805664
group_1613,0.9164973497390748
group_5951,0.8578857779502869
group_6121,0.8240939974784851
group_2717,0.8193659782409668
crfC_2,0.8137432932853699
group_2488,0.7667004466056824
emrE_2,0.7235555648803711
lpd,0.7109668254852295
yeeW,0.6858905553817749
group_1182,0.6787723898887634
group_5971,0.659271240234375
acuR,0.6377829909324646
ompT,0.5592595338821411
degA,0.5569161176681519
group_1540,0.5544445514678955
group_8095,0.5540854334831238
group_2943,0.5471290349960327
group_11338,0.5363254547119141
group_7234,0.5178794860839844
group_7939,0.4808964729309082
group_1892,0.4757652282714844
group_3008,0.4724830985069275
group_1953,0.4723958671092987
group_3136,0.4664783477783203
group_7195,0.4367213249206543
group_2993,0.4272706210613251
group_1850,0.4255929291248321
group_364,0.4119299352169037
pemK,0.404032826423645
group_765,0.3685381412506103
group_7932,0.3620307445526123
flmC,0.3616073131561279
mngR_2,0.3594162464141845
group_4270,0.3533392548561096
Cutoff_25,0.3512732684612274
group_613,0.3275671005249023
group_938,0.3220739066600799
mgtA,0.3203329443931579
group_2959,0.3118977546691894
group_5972,0.3101367056369781
group_4143,0.3029334247112274
group_15486,0.3002738356590271
group_4782,0.2990231215953827
group_3339,0.2989120483398437
group_4374,0.2882287502288818
Cutoff_1266,0.2866516411304474
group_5412,0.2778311371803283
group_4881,0.275636613368988
hyi,0.2655181884765625
Cutoff_616,0.2554469704627991
group_14442,0.2519813477993011
norG,0.2341048568487167
group_9572,0.20977164804935453
pic,0.20869961380958554
group_11625,0.20419299602508542
Cutoff_20,0.1981616914272308
group_6960,0.18680596351623532
ghoT,0.1825621277093887
group_3194,0.18100255727767942
group_1411,0.1778055131435394
group_11360,0.175814151763916
intA_3,0.1756087094545364
group_7431,0.16711671650409696
rspA,0.1617651879787445
agp_2,0.1573960930109024
Cutoff_1286,0.15674591064453122
group_1413,0.1396365016698837
yedR,0.1396065503358841
ompX_2,0.12873463332653043
group_9325,0.1256943941116333
group_9566,0.12417273223400115
ltxB,0.12325233966112135
group_934,0.12097267806529997
group_11232,0.11972323060035704
group_9371,0.11894498765468596
hlyA,0.11005522310733794
dsdX,0.10819161683320998
group_14101,0.10740745067596434
Cutoff_6,0.10602971166372298
group_11289,0.09954024851322173
group_5825,0.0993780791759491
Cutoff_90,0.09763912856578826
cbtA_1,0.09746359288692473
group_689,0.09540063887834545
group_7720,0.09029656648635863
group_3758,0.08837033063173293
group_1435,0.0866521969437599
Cutoff_17369,0.08483479917049404
group_766,0.08479471504688262
group_14186,0.0847306102514267
group_11305,0.08426171541213985
group_850,0.0774378776550293
group_6554,0.07545208930969236
group_887,0.07325561344623564
Cutoff_51,0.07307060807943343
papB,0.07233934104442594
group_3024,0.07123631983995435
Cutoff_26,0.06998530775308605
gadB,0.0686764344573021
kpsT,0.06794789433479305
group_3596,0.06402260065078734
group_7724,0.060207735747098916
rusA_1,0.05890674889087674
group_2991,0.05609255656599995
group_9399,0.05406012386083602
Cutoff_1569,0.04567901790142055
Cutoff_33,0.04528549686074253
entD,0.04445335268974302
group_3389,0.04337617754936213
Cutoff_23,0.04197120666503902
Cutoff_39,0.04113360866904253
Cutoff_1,0.04009300470352172
sasA,0.0390627384185791
traY,0.03837082535028453
Cutoff_52,0.035538855940103524
group_6934,0.03541935235261912
group_6978,0.03472045436501502
group_4268,0.03467372059822082
ccdA,0.0342266745865345
Cutoff_63,0.030699359253048827
group_3289,0.030423890799283922
Cutoff_29,0.029577814042568203
Cutoff_31,0.028958421200513822
rhaD,0.02825528755784033
group_1716,0.0225260853767395
Cutoff_58,0.020991407334804514
glmU_2,0.016335675492882718
group_7518,0.011646270751953115
group_11308,0.005092639476060805
